============================================================
  Generated by:           Genus(TM) Synthesis Solution GENUS15.22 - 15.20-s024_1
  Generated on:           May 19 2025  10:25:00 pm
  Module:                 USFFT64_2B
  Interconnect mode:      global
  Area mode:              physical library
============================================================

                                  Leakage      Internal                                     Library 
  Gate   Instances     Area      Power (nW)   Power (nW)                Library              Domain 
OR2X2            9      138.348      16.607      12283.948    D_CELLS_MOSST_slow_1_62V_125C       0 
OR3X0            7      107.604      13.108       1415.214    D_CELLS_MOSST_slow_1_62V_125C       0 
OR4X1            1       24.595       1.708       1372.699    D_CELLS_MOSST_slow_1_62V_125C       0 
OR5X1            1       27.670       1.554       1170.137    D_CELLS_MOSST_slow_1_62V_125C       0 
OR6X1            1       33.818       2.180       3165.141    D_CELLS_MOSST_slow_1_62V_125C       0 
SDFRQX0      15056   972051.494   95629.690  107535931.642    D_CELLS_MOSST_slow_1_62V_125C       0 
SDFRQX1          2      141.422      11.781      20738.480    D_CELLS_MOSST_slow_1_62V_125C       0 
SDFRQX2        895    63286.524    5371.080   11688915.797    D_CELLS_MOSST_slow_1_62V_125C       0 
SDFRQX4         26     2158.229     186.132     374105.808    D_CELLS_MOSST_slow_1_62V_125C       0 
SDFRX0          13      879.278      82.606     102509.510    D_CELLS_MOSST_slow_1_62V_125C       0 
----------------------------------------------------------------------------------------------------
total        50047  1740463.956  166818.110  162416580.989                                  


                                              Leakage  Leakage    Internal   Internal 
     Type      Instances     Area    Area % Power (nW) Power %   Power (nW)   Power % 
--------------------------------------------------------------------------------------
sequential         15992 1038516.948   59.7 101281.288    60.7 119722201.238     73.7 
inverter            1664   11707.315    0.7   1384.258     0.8   1829162.520      1.1 
buffer                36     624.103    0.0     91.557     0.1     89909.803      0.1 
logic              32355  689615.590   39.6  64061.007    38.4  40775307.428     25.1 
physical_cells         0       0.000    0.0      0.000     0.0         0.000      0.0 
--------------------------------------------------------------------------------------
total              50047 1740463.956  100.0 166818.110   100.0 162416580.989    100.0 

