============================================================
  Generated by:           Genus(TM) Synthesis Solution GENUS15.22 - 15.20-s024_1
  Generated on:           May 19 2025  10:26:00 pm
  Module:                 USFFT64_2B
  Interconnect mode:      global
  Area mode:              physical library
============================================================

                                  Leakage     Internal                                   Library 
  Gate   Instances     Area     Power (nW)   Power (nW)               Library             Domain 
SDFRQX0      15056   972051.494   2878.557  120459260.316    D_CELLS_MOSST_typ_1_80V_25C       1 
SDFRQX1          2      141.422      0.367      22467.241    D_CELLS_MOSST_typ_1_80V_25C       1 
SDFRQX2        895    63286.524    171.720   12378296.200    D_CELLS_MOSST_typ_1_80V_25C       1 
SDFRQX4         26     2158.229      5.486     383161.645    D_CELLS_MOSST_typ_1_80V_25C       1 
SDFRX0          13      879.278      2.485     121987.901    D_CELLS_MOSST_typ_1_80V_25C       1 
-------------------------------------------------------------------------------------------------
total        50047  1740463.956   5234.818  185214143.918                                


                                              Leakage  Leakage    Internal   Internal 
     Type      Instances     Area    Area % Power (nW) Power %   Power (nW)   Power % 
--------------------------------------------------------------------------------------
sequential         15992 1038516.948   59.7   3058.615    58.4 133365173.304     72.0 
inverter            1664   11707.315    0.7     41.899     0.8   2298417.763      1.2 
buffer                36     624.103    0.0      2.757     0.1    114275.529      0.1 
logic              32355  689615.590   39.6   2131.547    40.7  49436277.322     26.7 
physical_cells         0       0.000    0.0      0.000     0.0         0.000      0.0 
--------------------------------------------------------------------------------------
total              50047 1740463.956  100.0   5234.818   100.0 185214143.918    100.0 

