============================================================
  Generated by:           Genus(TM) Synthesis Solution GENUS15.22 - 15.20-s024_1
  Generated on:           May 19 2025  10:27:00 pm
  Module:                 USFFT64_2B
  Interconnect mode:      global
  Area mode:              physical library
============================================================

                                  Leakage     Internal                                     Library 
  Gate   Instances     Area     Power (nW)   Power (nW)                Library              Domain 


                                              Leakage  Leakage    Internal   Internal 
     Type      Instances     Area    Area % Power (nW) Power %   Power (nW)   Power % 
--------------------------------------------------------------------------------------
sequential         15992 1038516.948   59.7     92.070    58.0 175435896.102     72.8 
inverter            1664   11707.315    0.7      1.098     0.7   3051652.793      1.3 
buffer                36     624.103    0.0      0.072     0.0    150043.993      0.1 
logic              32355  689615.590   39.6     65.420    41.2  62229858.148     25.8 
physical_cells         0       0.000    0.0      0.000     0.0         0.000      0.0 
--------------------------------------------------------------------------------------
total              50047 1740463.956  100.0    158.660   100.0 240867451.035    100.0 

